SRA_ID	Total_Syn	Het_syn	Homo_syn
CRR1915181	132801	60341	36230
CRR1915182	129180	58704	35238
CRR1915183	124390	48114	38138
CRR1915184	121306	48544	36381
CRR1915185	126006	25422	50292
CRR1915186	127493	56433	35530
CRR1915187	129948	45990	41979
CRR1915188	129455	61627	33914
CRR1915189	123592	66972	28310
CRR1915190	124457	39843	42307
CRR1915191	126489	67329	29580
CRR1915192	129041	79801	24620
CRR1915193	132922	58240	37341
CRR1915194	120581	56929	31826
CRR1915195	126083	34905	45589
CRR1915196	137053	28627	54213
CRR1915197	122642	68872	26885
CRR1915198	126890	44828	41031
CRR1915199	125015	61339	31838
CRR1915200	129936	55132	37402
CRR1915201	130132	32524	48804
CRR1915202	124686	71030	26828
CRR1915203	125293	64649	30322
CRR1915204	126795	65115	30840
CRR1915205	123764	49110	37327
CRR1915206	129929	28189	50870
CRR1915207	117855	61311	28272
CRR1915208	127588	83748	21920
CRR1915209	125048	60822	32113
CRR1915210	126150	81838	22156
CRR1915211	127030	75350	25840
CRR1915212	131996	57668	37164
CRR1915213	128050	29852	49099
CRR1915214	120427	37907	41260
CRR1915215	125863	60787	32538
CRR1915216	130027	87945	21041
CRR1915217	132206	37070	47568
CRR1915218	129315	64137	32589
CRR1915219	126184	60006	33089
CRR1915220	124031	53263	35384
CRR1915221	125770	77658	24056
CRR1915222	127625	72267	27679
CRR1915223	133018	41514	45752
CRR1915224	126380	36710	44835
CRR1915225	129536	64286	32625
CRR1915226	127065	50385	38340
CRR1915227	126838	82598	22120
CRR1915228	124457	77123	23667
CRR1915229	126667	82859	21904
CRR1915230	128536	90586	18975
CRR1915231	132112	84772	23670
CRR1915232	126361	42641	41860
CRR1915233	124207	52133	36037
CRR1915234	121449	61219	30115
CRR1915235	128537	59461	34538
CRR1915236	125778	86906	19436
CRR1915237	124131	68795	27668
CRR1915238	132362	36876	47743
CRR1915239	129015	38603	45206
CRR1915240	127672	76684	25494
CRR1915241	132852	28468	52192
CRR1915242	128966	70596	29185
CRR1915243	123070	60364	31353
CRR1915244	123686	73890	24898
CRR1915245	129552	50158	39697
CRR1915246	132875	49113	41881
CRR1915247	126873	70227	28323
CRR1915248	131354	66034	32660
CRR1915249	132267	40109	46079
CRR1915250	125111	65203	29954
CRR1915251	124789	79435	22677
CRR1915252	121787	63031	29378
CRR1915253	131621	48741	41440
CRR1915254	127623	69007	29308
CRR1915255	138050	22846	57602
CRR1915256	134347	53757	40295
CRR1915257	124375	47127	38624
CRR1915258	129696	60946	34375
CRR1915259	129191	50931	39130
CRR1915260	131144	49078	41033
CRR1915261	128963	6573	61195
CRR1915262	128361	10499	58931
CRR1915263	130488	5758	62365
CRR1915264	127010	63220	31895
CRR1915265	131386	49928	40729
CRR1915266	131921	46385	42768
CRR1915267	134995	30531	52232
CRR1915268	127933	73411	27261
CRR1915269	128242	68522	29860
CRR1915270	125039	62411	31314
CRR1915271	130124	37350	46387
CRR1915272	129138	43632	42753
CRR1915273	135087	11437	61825
CRR1915274	125387	55441	34973
CRR1915275	125499	62473	31513
CRR1915276	123209	57425	32892
CRR1915277	129329	7015	61157
CRR1915278	132681	9141	61770
CRR1915279	130042	81672	24185
CRR1915280	128415	23273	52571
CRR1915281	126049	58813	33618
CRR1915282	131259	23061	54099
CRR1915283	127721	45233	41244
CRR1915284	115614	60604	27505
CRR1915285	131270	58420	36425
CRR1915286	130501	41957	44272
CRR1915287	127606	25810	50898
CRR1915288	123292	12506	55393
CRR1915289	132702	14166	59268
CRR1915290	131949	16513	57718
CRR1915291	127079	34113	46483
CRR1915292	127753	72643	27555
CRR1915293	135821	20345	57738
CRR1915294	120255	59269	30493
CRR1915295	126861	50917	37972
CRR1915296	130615	68835	30890
CRR1915297	129741	6023	61859
CRR1915298	123038	19096	51971
CRR1915299	128981	30973	49004
CRR1915300	129358	44226	42566
CRR1915301	129572	43502	43035
CRR1915302	130988	7802	61593
CRR1915303	130467	18799	55834
CRR1915304	125283	73217	26033
CRR1915305	129449	66847	31301
CRR1915306	130435	64517	32959
CRR1915307	130645	77607	26519
CRR1915308	128159	68753	29703
CRR1915309	123052	80470	21291
CRR1915310	131316	71490	29913
CRR1915311	128837	24993	51922
CRR1915312	130690	50980	39855
CRR1915313	131018	6110	62454
CRR1915314	137145	21839	57653
CRR1915315	127299	15525	55887
CRR789265	123906	47034	38436
CRR789266	124560	56340	34110
CRR789267	124183	54097	35043
CRR789268	122531	80497	21017
CRR789269	122166	74874	23646
CRR789270	119453	77219	21117
CRR789271	122609	62631	29989
CRR789272	123092	57514	32789
CRR789273	123626	75518	24054
CRR789274	126074	42302	41886
CRR789275	112473	68659	21907
CRR789276	116950	70152	23399
CRR789277	115299	59783	27758
CRR789278	114694	71182	21756
CRR789279	115468	64590	25439
CRR789280	128059	31693	48183
CRR789281	113586	65250	24168
CRR789282	114656	41884	36386
CRR789283	115177	62619	26279
CRR789284	119130	73202	22964
CRR789285	116938	68278	24330
CRR789286	113426	65806	23810
CRR789287	114501	71021	21740
CRR789288	116452	46974	34739
CRR789289	115788	69696	23046
CRR789290	115418	61520	26949
CRR789291	120776	55888	32444
CRR789292	112360	65830	23265
CRR789293	118866	47298	35784
CRR789294	116156	64336	25910
CRR789295	120364	53320	33522
CRR789296	116308	46140	35084
CRR789297	116404	63866	26269
CRR789298	116219	67027	24596
CRR789299	113696	62264	25716
CRR789300	123872	40374	41749
CRR789301	115018	61768	26625
CRR789302	129112	47916	40598
CRR789303	118832	63200	27816
CRR789304	119570	53394	33088
CRR789305	121398	60692	30353
CRR789306	110794	55330	27732
CRR789307	113994	55998	28998
CRR789308	116470	45618	35426
CRR789309	120178	50728	34725
CRR789310	119041	55165	31938
CRR789311	118724	58216	30254
CRR789312	116709	53523	31593
CRR789313	114323	67797	23263
CRR789314	118492	45852	36320
CRR789315	115784	55852	29966
CRR789316	113029	55193	28918
CRR789317	121439	53521	33959
CRR789318	121056	67102	26977
CRR789319	110573	65367	22603
CRR789320	130053	39733	45160
CRR789321	117597	63691	26953
CRR789322	115483	61751	26866
CRR789323	118667	50193	34237
CRR789324	120167	44765	37701
CRR789325	112424	70930	20747
CRR789326	113557	56617	28470
CRR789327	121988	60930	30529
CRR789328	123803	49417	37193
CRR789329	116938	56138	30400
CRR789330	126934	57474	34730
CRR789331	116892	65754	25569
CRR789332	113206	54346	29430
CRR789333	117649	59929	28860
CRR789334	122071	53841	34115
CRR789335	119896	62606	28645
CRR789336	123514	16858	53328
CRR789337	134437	52155	41141
CRR789338	130849	57183	36833
CRR789339	130165	45125	42520
CRR789340	129909	60189	34860
CRR789341	129773	58099	35837
CRR789342	130596	62976	33810
CRR789343	132603	56937	37833
CRR789344	136140	54672	40734
CRR789345	129246	56260	36493
CRR789346	132015	58921	36547
CRR789347	131010	62908	34051
CRR789348	130820	56650	37085
CRR789349	126288	49668	38310
CRR789350	131347	55861	37743
CRR789351	128225	65697	31264
CRR789352	130416	66564	31926
CRR789353	132284	65656	33314
CRR789354	130663	65215	32724
CRR789355	119112	60000	29556
CRR789356	128273	49327	39473
CRR789357	128249	49197	39526
CRR789358	122907	62815	30046
CRR789359	122135	63091	29522
CRR789360	125924	89462	18231
CRR789361	135445	91133	22156
CRR789362	126437	49575	38431
CRR789363	133103	63179	34962
CRR789364	132142	54630	38756
CRR789365	119926	48208	35859
CRR789366	127587	51535	38026
CRR789367	123977	79251	22363
CRR789368	122544	62090	30227
CRR789369	125899	87739	19080
CRR789370	123762	85892	18935
CRR789371	126046	81514	22266
CRR789372	126074	82162	21956
CRR789373	126642	65634	30504
CRR789374	132932	42348	45292
CRR789375	130897	65969	32464
CRR789376	124448	61398	31525
CRR789377	130019	62585	33717
CRR789378	124875	53739	35568
CRR789379	126974	52742	37116
CRR789380	132743	59043	36850
CRR789381	127916	71200	28358
CRR789382	126795	67387	29704
CRR789383	126889	54885	36002
CRR789384	129487	41847	43820
CRR789385	123948	57012	33468
CRR789386	122771	44725	39023
CRR789387	122652	65210	28721
CRR789388	127852	60720	33566
CRR789389	131850	66104	32873
CRR789390	131835	68309	31763
CRR789391	127738	70064	28837
CRR789392	131780	85520	23130
CRR789393	130680	62642	34019
CRR789394	132280	49654	41313
CRR789395	128982	62184	33399
CRR789396	122507	55449	33529
CRR789397	134466	73970	30248
CRR789398	129473	92003	18735
CRR789399	129571	89941	19815
CRR789400	130436	55974	37231
CRR789401	131367	66519	32424
CRR789402	130901	59155	35873
CRR789403	123914	59808	32053
CRR789404	124764	59698	32533
CRR789405	132368	59638	36365
CRR789406	131781	50765	40508
CRR789407	132594	64036	34279
CRR789408	133312	59484	36914
CRR789409	122005	90809	15598
CRR789410	124528	69586	27471
CRR789411	122155	62409	29873
CRR789412	122445	91149	15648
CRR789413	125618	62796	31411
CRR789414	123605	51133	36236
CRR789415	123577	98479	12549
CRR789416	131235	66615	32310
CRR789417	123071	51539	35766
CRR789418	121998	57694	32152
CRR789419	127237	53365	36936
CRR789420	131033	80503	25265
CRR789421	128631	62503	33064
CRR789422	130077	62349	33864
CRR789423	129446	83438	23004
CRR789424	113260	49058	32101
CRR789425	121048	53260	33894
CRR789426	127412	13584	56914
CRR789427	123355	36413	43471
CRR789428	132310	52526	39892
CRR789429	131616	51784	39916
CRR789430	127915	47631	40142
CRR789431	128479	49049	39715
CRR789432	120410	14244	53083
CRR789433	121640	71582	25029
CRR789434	114461	37613	38424
CRR789435	104473	39127	32673
CRR789436	108346	25956	41195
CRR789437	125150	13448	55851
CRR789438	121430	28784	46323
CRR789439	121852	17188	52332
CRR789440	99504	10112	44696
CRR789441	128382	49832	39275
CRR789442	130783	52983	38900
CRR789443	113415	13805	49805
CRR789444	123180	65592	28794
CRR789445	132268	69574	31347
CRR789446	128136	70518	28809
CRR789447	126032	67536	29248
CRR789448	119081	70247	24417
CRR789449	119830	65622	27104
CRR789450	124624	57590	33517
CRR789451	123089	64593	29248
CRR789452	129412	62996	33208
CRR789453	132448	69712	31368
CRR789454	129211	70139	29536
CRR789455	127732	72694	27519
CRR789456	125226	68022	28602
CRR789457	122359	72381	24989
CRR789458	122793	72617	25088
CRR789459	133060	74462	29299
CRR789460	128185	72637	27774
CRR789461	128289	70239	29025
CRR789462	128665	73725	27470
CRR789463	133318	67506	32906
CRR789464	135068	71136	31966
CRR789465	131227	66157	32535
CRR789466	132952	70522	31215
CRR789467	128344	71700	28322
CRR789468	125595	68809	28393
CRR789469	128203	68949	29627
CRR789470	125187	65085	30051
CRR789471	121581	64761	28410
CRR789472	115853	63745	26054
CRR789473	112801	63151	24825
CRR789474	133493	48961	42266
CRR789475	129788	50670	39559
CRR789476	113616	61270	26173
CRR789477	115060	50262	32399
CRR789478	130188	34330	47929
CRR789479	110775	66733	22021
CRR789480	127959	51857	38051
CRR789481	119098	36414	41342
CRR789482	115569	59419	28075
CRR789483	115031	64167	25432
CRR789484	123110	43510	39800
CRR789485	127917	35699	46109
CRR789486	117635	41215	38210
CRR789487	106076	50888	27594
CRR789488	122338	53048	34645
CRR789489	118952	58892	30030
CRR789490	113045	47453	32796
CRR789491	107451	59303	24074
CRR789492	111236	66802	22217
CRR789493	119441	51603	33919
CRR789494	121514	46104	37705
CRR789495	105916	56642	24637
CRR789496	111069	60917	25076
CRR789497	107172	55076	26048
CRR789498	103901	57939	22981
CRR789499	109544	49932	29806
CRR789500	112219	54929	28645
CRR789501	113925	60805	26560
CRR789502	117320	45726	35797
CRR789503	109318	70394	19462
CRR789504	116383	55603	30390
CRR789505	106284	55678	25303
CRR789506	115928	57850	29039
CRR789507	117673	37905	39884
CRR789508	112451	55663	28394
CRR789509	116968	53952	31508
CRR789510	126108	45570	40269
CRR789511	113310	61672	25819
CRR789512	117203	48597	34303
CRR789513	124110	31686	46212
CRR789514	122225	37377	42424
CRR789515	127756	10346	58705
CRR789516	123398	20656	51371
CRR789517	121338	38064	41637
CRR789518	127724	23048	52338
CRR789519	119040	36324	41358
CRR789520	130085	8479	60803
CRR789521	109191	58315	25438
CRR789522	110974	67270	21852
CRR789523	113798	64740	24529
CRR789524	109793	59681	25056
CRR789525	106078	58946	23566
CRR789526	109594	58152	25721
CRR789527	114393	52521	30936
CRR789528	102926	60754	21086
CRR789529	110586	62250	24168
CRR789530	106534	59634	23450
CRR789531	111597	59927	25835
CRR789532	102971	65419	18776
CRR789533	113981	57637	28172
CRR789534	104748	62136	21306
CRR789535	98160	58748	19706
CRR789536	111374	66468	22453
CRR789537	118315	53423	32446
CRR789538	116351	60601	27875
CRR789539	113054	62048	25503
CRR789540	109059	40421	34319
CRR789541	113080	59978	26551
CRR789542	123879	22515	50682
CRR789543	119811	66599	26606
CRR789544	111596	62474	24561
CRR789545	108339	64069	22135
CRR789546	114789	61231	26779
CRR789547	105683	60103	22790
CRR789548	117041	56173	30434
CRR789549	104032	54508	24762
CRR789550	110714	39842	35436
CRR789551	113705	27245	43230
CRR789552	115096	37586	38755
CRR789553	120853	28735	46059
CRR789554	116060	66604	24728
CRR789555	115647	62779	26434
CRR789556	122383	42251	40066
CRR789557	124724	44682	40021
CRR789558	117234	56644	30295
CRR789559	117652	54670	31491
CRR789560	115972	51916	32028
CRR789561	117572	51578	32997
CRR789562	110291	51035	29628
CRR789563	113875	40159	36858
CRR789564	111432	58304	26564
CRR789565	119651	53387	33132
CRR789566	108434	60298	24068
CRR789567	106814	53944	26435
CRR789568	119533	40505	39514
CRR789569	127237	29425	48906
CRR789570	108659	50525	29067
SRR10059367	83298	65562	8868
SRR10192976	112405	71797	20304
SRR10192977	70988	53446	8771
SRR10192978	81099	53309	13895
SRR10192979	95063	75509	9777
SRR10192980	116130	79048	18541
SRR10192981	105414	69004	18205
SRR10192982	113036	65700	23668
SRR10192983	128045	56467	35789
SRR10192984	123050	59664	31693
SRR10192985	113078	69928	21575
SRR10192986	145442	2856	71293
SRR10192987	122435	61777	30329
SRR10192988	134066	35442	49312
SRR10192989	98756	70566	14095
SRR10192990	95353	76923	9215
SRR10192991	98753	69959	14397
SRR10192992	119564	63804	27880
SRR10192993	126114	54576	35769
SRR10192994	112746	86062	13342
SRR10192995	120133	68267	25933
SRR10192996	141591	27043	57274
SRR10224869	82794	56296	13249
SRR10224870	87204	67114	10045
SRR10224871	90718	66326	12196
SRR10224872	79719	65235	7242
SRR10224873	168825	2321	83252
SRR10224874	174451	2583	85934
SRR10224875	168159	9945	79107
SRR10224876	172418	6564	82927
SRR10224877	172774	6058	83358
SRR10224878	83832	61984	10924
SRR10224879	172481	7209	82636
SRR10224880	122163	56637	32763
SRR10224881	106694	69608	18543
SRR10224882	114190	46636	33777
SRR10224883	122982	60626	31178
SRR10224884	119306	48626	35340
SRR10224885	114646	69242	22702
SRR10224886	124742	59134	32804
SRR10224887	104729	74707	15011
SRR10224888	120803	59967	30418
SRR10224889	108976	65308	21834
SRR10224890	138465	54673	41896
SRR10224891	114995	65219	24888
SRR10224892	95673	73533	11070
SRR10224893	103443	66225	18609
SRR10224894	106212	69460	18376
SRR10224895	106646	59660	23493
SRR10224896	77097	61405	7846
SRR10224897	77926	61654	8136
SRR10224898	83872	68678	7597
SRR10224899	103200	52492	25354
SRR10224900	87619	60439	13590
SRR10224901	98806	65664	16571
SRR10224902	97028	59476	18776
SRR10224903	94766	58518	18124
SRR10224904	94840	62376	16232
SRR10224905	88250	57992	15129
SRR10224906	97430	66396	15517
SRR10224907	87924	61726	13099
SRR10224908	90333	64205	13064
SRR10224909	86921	68279	9321
SRR10224910	86501	66487	10007
SRR10224911	90280	66376	11952
SRR10224912	91406	70888	10259
SRR10224913	85852	69490	8181
SRR10224914	88211	68225	9993
SRR10224915	71179	56183	7498
SRR10224916	77917	62561	7678
SRR10224917	74126	59220	7453
SRR10224918	94635	69367	12634
SRR10224919	87992	67588	10202
SRR10224920	73227	53355	9936
SRR10224921	81143	61479	9832
SRR10224922	100778	62650	19064
SRR10224923	98611	29919	34346
SRR12806809	120477	19533	50472
SRR12806810	101004	52616	24194
SRR12806811	118041	22469	47786
SRR12806812	98625	50695	23965
SRR12806813	127582	41282	43150
SRR12806814	103410	59726	21842
SRR12806815	106113	43331	31391
SRR12806816	118895	39709	39593
SRR12806817	122737	2469	60134
SRR12806818	113199	37877	37661
SRR12806819	103554	50472	26541
SRR12806820	89229	54203	17513
SRR12806821	115432	27196	44118
SRR12806822	95847	59063	18392
SRR12806823	104762	51152	26805
SRR12806824	91183	63839	13672
SRR12806825	104912	48728	28092
SRR12806826	84202	54008	15097
SRR12806827	84579	55627	14476
SRR12806828	90174	58966	15604
SRR12806829	93613	57159	18227
SRR12806830	91355	60909	15223
SRR12806831	98985	57507	20739
SRR12806832	101112	39124	30994
SRR12806833	63511	43981	9765
SRR12806834	105455	47519	28968
SRR12806835	87550	68600	9475
SRR12806836	96958	54074	21442
SRR12806837	117074	29772	43651
SRR12806838	107670	41104	33283
SRR12806839	95344	54790	20277
SRR12806840	98487	44067	27210
SRR12806841	112379	43125	34627
SRR12806842	109281	41789	33746
SRR12806843	117408	3272	57068
SRR12806844	90062	56216	16923
SRR12806845	109596	48800	30398
SRR12806846	89336	47204	21066
SRR12806847	94783	51787	21498
SRR12806848	97823	43779	27022
SRR12806849	81159	54493	13333
SRR12806850	97981	44757	26612
SRR12806851	126607	12459	57074
SRR12806852	121288	15284	53002
SRR12806853	100492	16014	42239
SRR12806854	83069	63293	9888
SRR12806855	106524	12880	46822
SRR12806856	101139	44395	28372
SRR12806857	108501	56367	26067
SRR12806858	95976	58278	18849
SRR12806859	102996	42146	30425
SRR12806860	77742	52750	12496
SRR12806861	89929	52795	18567
SRR12806862	81344	56010	12667
SRR12806863	90344	54928	17708
SRR12806864	97511	47539	24986
SRR12806865	89221	55275	16973
SRR12806866	99284	53534	22875
SRR12806867	102443	54593	23925
SRR12806868	87376	61370	13003
SRR12806869	75684	56970	9357
SRR12806870	89679	60813	14433
SRR12806871	96371	28639	33866
SRR12806872	104313	32043	36135
SRR12806873	91717	60339	15689
SRR12806874	97684	60514	18585
SRR12806875	95197	58297	18450
SRR12806876	94585	54769	19908
SRR12806877	94569	58849	17860
SRR12806878	100670	56576	22047
SRR12806879	108632	54202	27215
SRR12806880	108569	45579	31495
SRR12806881	130452	3422	63515
SRR12806882	108731	46669	31031
SRR12806883	88694	59668	14513
SRR12806884	106050	48554	28748
SRR12806885	103474	54812	24331
SRR12806886	109240	50994	29123
SRR12806887	76459	54875	10792
SRR12806888	79419	53251	13084
SRR12806889	105713	46785	29464
SRR12806890	83289	58935	12177
SRR12806891	72254	50636	10809
SRR12806892	81014	61084	9965
SRR12806893	94041	64379	14831
SRR12806894	99090	16656	41217
SRR12806895	76153	48047	14053
SRR13203972	115512	47036	34238
SRR13203973	112523	45935	33294
SRR13203974	101253	45945	27654
SRR13203975	114632	47136	33748
SRR13203976	121347	46545	37401
SRR13203977	118941	53439	32751
SRR13203978	101316	58180	21568
SRR13203979	97228	55790	20719
SRR13203980	94157	59175	17491
SRR13203981	108231	39091	34570
SRR13203982	102581	44837	28872
SRR13203983	68166	41654	13256
SRR13203984	121172	35718	42727
SRR13203985	124372	17382	53495
SRR13203986	125190	30972	47109
SRR13203987	92204	57650	17277
SRR13203988	79741	57991	10875
SRR13203989	72713	49397	11658
SRR13203990	102325	51955	25185
SRR13203991	84952	59616	12668
SRR13203992	92025	56281	17872
SRR13203993	106584	23262	41661
SRR13203994	83333	55551	13891
SRR13203995	83543	59715	11914
SRR13203996	73566	49966	11800
SRR13203997	86987	54661	16163
SRR13203998	90675	53387	18644
SRR13203999	117023	2401	57311
SRR13204000	80143	50211	14966
SRR13204001	90433	52727	18853
SRR13204002	101445	53927	23759
SRR13204003	81910	51970	14970
SRR13204004	112038	44172	33933
SRR13204005	86361	61399	12481
SRR13204006	84132	51956	16088
SRR13204007	92049	55035	18507
SRR13204008	74957	49729	12614
SRR13204009	101294	50776	25259
SRR13204010	97990	46322	25834
SRR13204011	103286	31276	36005
SRR13204012	87561	49747	18907
SRR13204013	82660	48072	17294
SRR13204014	81706	53660	14023
SRR13607661	127150	68584	29283
SRR13607662	122636	68760	26938
SRR13607663	129810	67868	30971
SRR13607664	130092	70108	29992
SRR13607665	126579	68349	29115
SRR13607666	122257	68581	26838
SRR13607667	120625	70237	25194
SRR13607668	125129	68355	28387
SRR13607669	125525	71033	27246
SRR13607670	124963	67935	28514
SRR13607671	124348	85418	19465
SRR13607672	129072	71196	28938
SRR13607673	120186	64654	27766
SRR13607674	129719	72531	28594
SRR13607675	123621	70045	26788
SRR13607676	125287	84815	20236
SRR13607677	129662	64188	32737
SRR13607678	123376	70550	26413
SRR13607679	126383	67409	29487
SRR13607680	126760	87860	19450
SRR13607681	129248	71176	29036
SRR13607682	123381	69165	27108
SRR13607683	129499	63443	33028
SRR13607684	129009	73855	27577
SRR13607685	126103	69161	28471
SRR13607686	127573	55937	35818
SRR13607687	126478	71016	27731
SRR13607688	131178	72474	29352
SRR13607689	124393	67015	28689
SRR13607690	125388	68226	28581
SRR13607691	128885	65125	31880
SRR13607692	131219	85971	22624
SRR13607693	122131	71633	25249
SRR13607694	128673	67827	30423
SRR13607695	119457	69729	24864
SRR13607696	131622	67710	31956
SRR13607697	124600	68266	28167
SRR13607698	123290	70814	26238
SRR13607699	129217	72935	28141
SRR13607700	126332	68674	28829
SRR13607701	123966	64758	29604
SRR13607702	132176	72586	29795
SRR13607703	130140	69068	30536
SRR13607704	129624	71000	29312
SRR13607705	125085	68341	28372
SRR13607706	127604	67464	30070
SRR13607707	123852	66720	28566
SRR13607708	123708	67208	28250
SRR13607709	124405	69661	27372
SRR13607710	127512	70446	28533
SRR13607711	123002	70746	26128
SRR13607712	127139	70039	28550
SRR13607713	127942	68372	29785
SRR13607714	126879	68393	29243
SRR13607715	130083	72731	28676
SRR13607716	128971	69647	29662
SRR13607717	123993	64627	29683
SRR13607718	121291	70369	25461
SRR13607719	123192	65890	28651
SRR13607720	125176	66926	29125
SRR13607721	124859	68277	28291
SRR13607722	128040	68374	29833
SRR13607723	121404	67346	27029
SRR13607724	129334	69432	29951
SRR13607725	126729	72917	26906
SRR13607726	126921	72013	27454
SRR13607727	128481	71353	28564
SRR13607728	127362	71872	27745
SRR13607729	126393	68605	28894
SRR13607730	127852	73504	27174
SRR13607731	128794	67860	30467
SRR13607732	129115	70941	29087
SRR13607733	125886	55762	35062
SRR13607734	127825	46359	40733
SRR13607735	126250	64606	30822
SRR13607736	123966	62572	30697
SRR13607737	129679	68793	30443
SRR13607738	128085	8643	59721
SRR13607739	125130	47476	38827
SRR13607740	129337	56799	36269
SRR13607741	131348	20396	55476
SRR13607742	125953	65893	30030
SRR13607743	118535	58553	29991
SRR13607744	133973	56453	38760
SRR13607745	127781	53589	37096
SRR13607746	128950	41768	43591
SRR13607747	130483	49511	40486
SRR13607748	126249	64387	30931
SRR13607749	121558	54302	33628
SRR13607750	129634	65168	32233
SRR13607751	126769	52577	37096
SRR13607752	132288	64850	33719
SRR13607753	133239	68221	32509
SRR13607754	124518	71740	26389
SRR13607755	131535	68415	31560
SRR13607756	131322	69734	30794
SRR13607757	123688	66172	28758
SRR13607758	131721	70455	30633
SRR13607759	128933	66987	30973
SRR13607760	134484	64490	34997
SRR13607761	130474	65608	32433
SRR13607762	127135	61831	32652
SRR13607763	130910	67006	31952
SRR13607764	133246	70620	31313
SRR13607765	124608	66734	28937
SRR13607766	130882	71984	29449
SRR13607767	133668	68866	32401
SRR13607768	132270	69352	31459
SRR13607769	130104	69398	30353
SRR13607770	128690	69798	29446
SRR13607771	128088	69526	29281
SRR13607772	127111	69175	28968
SRR13607773	129347	66057	31645
SRR13607774	129496	71194	29151
SRR13607775	131511	72011	29750
SRR13607776	132141	67921	32110
SRR13607777	125812	66072	29870
SRR13607778	133514	66980	33267
SRR13607779	132690	67776	32457
SRR13607780	131901	64197	33852
SRR13607781	124249	69473	27388
SRR13607782	129393	69871	29761
SRR13607783	125120	70290	27415
SRR13607784	121286	70210	25538
